id,block,registration_file,registration_commit,verdict,original_verdict_text,scored_in,counted_in_existing_64,note,changed_from,verdict_status,non_directional,scoring
thr-P5,threshold 08-22,results/threshold_prediction.md,89fa78c,PASS,BORNE OUT to within one grid step,results/threshold_results.md:158,no,"QUESTIONABLE: the registration says the transition ""sits at the analytic threshold in both families -- not at a common value of some other quantity"". The families instead agree on a common value of most-negative derivative, past the threshold. As registered this is arguably FAIL.",,"SCORED IN CENSUS 2026-09-23 (post hoc scoring against the registered criterion; judgement call, see note)",False,post hoc (census)
wind-P1,winding 08-22,results/winding_prediction.md,10665c1,PASS,BORNE OUT,results/winding_results.md:27,no,,,as previously scored,False,registered rule
wind-P2,winding 08-22,results/winding_prediction.md,10665c1,PASS,BORNE OUT,results/winding_results.md:34,no,,,as previously scored,False,registered rule
wind-P3,winding 08-22,results/winding_prediction.md,10665c1,PASS,BOTH HALVES BORNE OUT,results/winding_results.md:43,no,CLAIMS.md:38 (T24) notes small per-activation non-monotone cells.,,as previously scored,False,registered rule
wind-P4,winding 08-22,results/winding_prediction.md,10665c1,PASS,BORNE OUT,results/winding_results.md:59,no,"CLAIMS.md:38 (T24): attrition 22/28/46/42% is not monotone; the earlier ""grows"" wording was corrected. Higher at q>=3 than at q<=2.",,as previously scored,False,registered rule
amp-2a-match,early census 08-23,results/amplification_prediction.md,178e599,FAIL,failed (A_req undefined for family B),results/gap_results.md:139,no,"The stated reason was retracted 2026-09-06 (CLAIMS.md:42, T28: A_req diverges as 1/|alpha| for B, ""original analysis used the wrong variable""). Not re-scored.",,"SCORED IN CENSUS 2026-09-23 (post hoc scoring against the registered criterion; judgement call, see note)",False,post hoc (census)
amp-2b-tail,early census 08-23,results/amplification_prediction.md,178e599,PASS,borne out,results/gap_results.md:140,no,,,as previously scored,False,registered rule
amp-2b-intervention,early census 08-23,results/amplification_prediction.md,178e599,PASS,borne out: 17/40 vs 0/400,results/gap_results.md:141,no,,,as previously scored,False,registered rule
bneck-A,early census 08-23,results/bottleneck_prediction.md,7b21786,FAIL,"Test A failed, sign reversed (tanh beats GELU at every width)",results/bottleneck_results.md:9-27,no,,,as previously scored,False,registered rule
bneck-B,early census 08-23,results/bottleneck_prediction.md,7b21786,UNRESOLVED,Test B is moot (no advantage whose disappearance could be tested),results/bottleneck_results.md:24-26,no,,,as previously scored,False,registered rule
fold1d-P1-zero,early census 08-23,results/fold1d_prediction.md,8aacfed,PASS,exact: 0/200 at every monotonic value,results/fold1d_results.md:14,no,,,as previously scored,False,registered rule
fold1d-P2-onset,early census 08-23,results/fold1d_prediction.md,8aacfed,PARTIAL,"family A: zeros through 1.30, onset (1.30,1.35]; family B: no gap",results/fold1d_results.md:15-16,no,"The registered onset is past the threshold (stated for a=1.01-1.05). It held for family A. Family B shows no gap, which is the ""onset exactly at the threshold"" outcome the registration named against.",,as previously scored,False,registered rule
fold1d-P3-calibration,early census 08-23,results/fold1d_prediction.md,8aacfed,PARTIAL,"procedure vindicated, point guess wrong (band [1.10,1.30] missed by one grid step)",results/fold1d_results.md:19-30,no,The procedure was re-run afterwards with measured reach numbers. The registration anticipated this outcome (fold1d_prediction.md:55-56).,,as previously scored,False,registered rule
fold1d-P4-GELU,early census 08-23,results/fold1d_prediction.md,8aacfed,PASS,93/200 = 46.5% (>= 30% borne out),results/fold1d_results.md:17,no,,,as previously scored,False,registered rule
gelu-up,early census 08-23,results/gelu_scale_prediction.md,a42f342,FAIL,outcome exceeded registered R2 expectation (5-13%): scaled-up 17.0%,results/gelu_scale_results.md:12-29,no,"The registered point expectation (unchanged within noise) was missed. 17.0% sits exactly on the edge of the pre-stated ""3-17%: consistent with R2"" band. CLAIMS.md:43 (T29): ""Registered R2 expectation (no change) was exceeded"".",,"SCORED IN CENSUS 2026-09-23 (post hoc scoring against the registered criterion; judgement call, see note)",False,post hoc (census)
gelu-down,early census 08-23,results/gelu_scale_prediction.md,a42f342,PASS,"scaled-down 3.0% (at or below baseline, direction down), p=0.023 one-sided","results/gelu_scale_results.md:14,55-57",no,"Registered with low confidence. Fails Bonferroni x3 (CLAIMS.md:43, T29).",,as previously scored,False,registered rule
offset-E,early census 08-23,results/offset_prediction.md,4e5d413,PASS,"exhibit found: 0 errors on 1,400,000 fresh points",results/offset_results.md:25-35,no,,,as previously scored,False,registered rule
offset-R,early census 08-23,results/offset_prediction.md,4e5d413,PASS,"all four searches fail at a=1.02, as registered",results/offset_results.md:44-55,no,,,as previously scored,False,registered rule
arr-1a,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,FAIL,"linear overshoots MEP by an infinite factor, not a constant one",results/barrier_results.md:53-56,no,"Un-coded original Arrhenius prediction 1a (arrhenius_prediction.md:3). Distinct from P-barrier (basin_prediction.md), which tested barrier height vs a.",,as previously scored,False,registered rule
arr-1b,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,UNRESOLVED,not run: premise failed (no barrier exists),results/barrier_results.md:46-51,no,Un-coded Arrhenius 1b (arrhenius_prediction.md:6).,,as previously scored,False,registered rule
arr-2a,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,UNRESOLVED,"""Parts 2, 3 and 5 as registered cannot run""",results/barrier_results.md:48-51,no,Un-coded Arrhenius 2a.,,as previously scored,False,registered rule
arr-2b,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,UNRESOLVED,cannot run (Part 2),results/barrier_results.md:48-51,no,Un-coded Arrhenius 2b (fitted T vs eta/B). Distinct from coded P-2b.,,as previously scored,False,registered rule
arr-3a,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,UNRESOLVED,cannot run (Part 3),results/barrier_results.md:48-51,no,Un-coded Arrhenius 3a.,,as previously scored,False,registered rule
arr-3c,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,UNRESOLVED,cannot run (Part 3),results/barrier_results.md:48-51,no,Un-coded Arrhenius 3c.,,as previously scored,False,registered rule
arr-5,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,UNRESOLVED,cannot run (Part 5),results/barrier_results.md:48-51,no,Un-coded Arrhenius 5 (GELU dose-response within a factor of ~2).,,as previously scored,False,registered rule
P-ratio(1b),Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,UNRESOLVED,"""ATTEMPTED, NOT EXECUTABLE"": q0.667 never solves under SGD; no ratio measured",results/geometric_transfer.md:1-41,no,"Second prediction under the code P-ratio (arrhenius_prediction.md:515, 2026-09-07). Not the P-ratio row in registered_predictions.md.",,as previously scored,False,registered rule
P-1c-onset,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,UNRESOLVED,"superseded: dependent on alpha_SGD=0.479, which failed (P-1c)",results/sgd_law_results.md:21-27,no,"Dependent prediction under P-1c (arrhenius_prediction.md:246-248), SGD onset -0.319, band [-0.42,-0.22]. Re-registered as P-SGD with measured alpha. The measured -0.3255 happens to fall inside this superseded band.",,as previously scored,False,registered rule
mnist-3b,MNIST budget law 09-11,results/mnist_budget_law_prediction.md,4a42ff3,UNRESOLVED,"not run: gated on control 2a, which failed (""Outcome 4 of 4"")",results/mnist_budget_law_results.md:3,no,"3a (alpha measured here) and 3c (bracketing) are protocol, not predictions. Not listed.",,as previously scored,False,registered rule
collapse-link,collapse 09-12,results/collapse_prediction.md,5db244b,FAIL,"originally ""This is the linkage registered in advance ... Both happened""; after the 2026-09-13 correction, Item 2 PASSES while Item 1 still fails","results/collapse_results.md:139-145,229",no,"MY INFERENCE: the registered biconditional (""if Item 2 shows drift, Item 1 will show poor collapse, and vice versa"", collapse_prediction.md:81-84) is violated once corrected Item 2 passes and Item 1 fails. Never explicitly re-scored.",,"SCORED IN CENSUS 2026-09-23 (post hoc scoring against the registered criterion; judgement call, see note)",False,post hoc (census)
metric-1a,metric artifact 09-12,results/metric_artifact_prediction.md,34def0c,PARTIAL,"Registered outcome 3 (intermediate), close to outcome 2: W ratio 2.09; ""sharp capability threshold"" withdrawn","results/metric_artifact_results.md:13-31,81",no,NON-DIRECTIONAL: the registration set outcome classes but predicted none. Intermediate mapped to PARTIAL.,,"SCORED IN CENSUS 2026-09-23 (post hoc scoring against the registered criterion; judgement call, see note)",True,post hoc (census)
metric-2,metric artifact 09-12,results/metric_artifact_prediction.md,34def0c,PARTIAL,"R dominates in A, q2, q1; does NOT dominate in family B","results/metric_artifact_results.md:198-206,294-306",no,"NON-DIRECTIONAL criterion (""if it fails in any qualifying family, that is reported""). Family B qualifies (286 in-band runs) and fails.",,"SCORED IN CENSUS 2026-09-23 (post hoc scoring against the registered criterion; judgement call, see note)",True,post hoc (census)
rc-H,R-collapse 09-12,results/r_collapse_prediction.md,4690f20,FAIL,FAILS across activation families; 2 of 4 failure conditions trigger -> R is a correlate,results/r_collapse_results.md:16-29,no,Restated 2026-09-22 (T71): condition 4 fails for q2 only (r_collapse_results.md:1). Still a failure.,,as previously scored,False,registered rule
rc-1d,R-collapse 09-12,results/r_collapse_prediction.md,4690f20,PARTIAL,"PASSES on the distribution-free test; parametric R50 gap 0.0359 exceeds the registered 0.0241 (""taken literally, condition 3 fails"")",results/r_collapse_results.md:99-131,no,"Only the parametric R50 criterion was registered, so strictly FAIL. Superseded 2026-09-14 by third_optimizer (r_collapse_results.md:373).",,"SCORED IN CENSUS 2026-09-23 (post hoc scoring against the registered criterion; judgement call, see note)",False,post hoc (census)
rc-3,R-collapse 09-12,results/r_collapse_prediction.md,4690f20,PARTIAL,"""Largely"": onsets within 1-2 grid steps at the 4 largest budgets; predicted exponent -0.8583 vs measured -0.7340, beyond grid resolution","results/r_collapse_results.md:272-298,337-341",no,"No tolerance was registered. 2b and 2c are checks ""reported either way"" and are not listed.",,as previously scored,False,registered rule
3opt-primary,third optimizer 09-14,results/third_optimizer_prediction.md,5da9b88,PASS,"Registered outcome 1: failure condition not triggered; all 9 Fisher null, intervals overlap","results/third_optimizer_results.md:4,68-81",no,,,as previously scored,False,registered rule
3opt-secondary,third optimizer 09-14,results/third_optimizer_prediction.md,5da9b88,PASS,directional sub-prediction confirmed: alpha_adamw 0.9802 < alpha_adam 1.2627,results/third_optimizer_results.md:64-66,no,,,as previously scored,False,registered rule
P1-a,phase1,results/phase1_prediction.md,ab7556d,PASS,P1-a confirmed: failures are placement failures,results/phase1_results.md:33,no,"P1-c, the registered competing hypothesis, is the complement of P1-a. It is rejected by the same result and not counted separately.",,as previously scored,False,registered rule
P1-b,phase1,results/phase1_prediction.md,ab7556d,FAIL,P1-b: FAILED as registered,results/phase1_results.md:96,no,,,as previously scored,False,registered rule
p2b-Hreverse,phase2b,results/phase2b_prediction.md,690570a,FAIL,"""rejection of the reverse mechanism (no post-crossing acceleration in |w2|)""; median R at crossing 0.2330 vs registered < 0.20",results/blockE_results.md:118-119; results/phase2b_across_a_prediction.md:6,no,"No dedicated results file exists: SESSION_LOG.md:111 cites results/phase2b_results.md, which is not in the repository or its history. The first numeric clause (median R at crossing below 0.20) fails on the committed 0.2330.",,as previously scored,False,registered rule
O1,phase2b across a,results/phase2b_across_a_prediction.md,c2b987f,PASS,O1: CV(R)=0.0311 (certified 0.0324) vs CV(|w2|)=0.2821,SESSION_LOG.md:15-22; results/BLOCK_STATUS.md:12,no,"Outcomes O2 and O3 are alternatives, not separate predictions.",,as previously scored,False,registered rule
p2bA-thresholds,phase2b across a,results/phase2b_across_a_prediction.md,c2b987f,UNRESOLVED,"training-free R_cross under-estimates measured 0.233 by 8.7-12.6% (""an under-estimate, not a bracket""); original numbers from under-converged code, superseded by Block B","SESSION_LOG.md:94-106,119",no,No tolerance was registered. The successor tests are Block B and G-1.,,as previously scored,False,registered rule
p2bA-adiabatic,phase2b across a,results/phase2b_across_a_prediction.md,c2b987f,PASS,"Registered criterion (median < 0.2 = tracking): met, overall median 0.0065",results/blockBC_results.md:56,no,,,as previously scored,False,registered rule
p2bA-Rrho,phase2b across a,results/phase2b_across_a_prediction.md,c2b987f,FAIL,Registered prediction that FAILED: R CV 0.0830 vs R*rho 0.1933,results/blockB_results_final.md:119-131,no,"Section 4 (Phase 3 items 4.1-4.3) maps to E-5, E-cold_low and E-4. Not counted separately.",,as previously scored,False,registered rule
B-spin,B,results/blockB_prediction.md,c05c03e,FAIL,"scored ""passes, but on THREE prospective a ... not discriminating""; registered falsifier (no hysteresis window) triggered at a=1.30; later withdrawn when R_spin=R_glob at all a",results/blockB_results_final.md:22-50; results/blockBC_results.md:17; SESSION_LOG.md:30-33,no,"JUDGEMENT: the scored pass was withdrawn (SESSION_LOG.md:30-33), and the registered falsifier of the adiabatic/spinodal picture fired (blockBC_results.md:17, ""framing dropped, not repaired""). Defensible alternative: UNRESOLVED (withdrawn).",,"SCORED IN CENSUS 2026-09-23 (post hoc scoring against the registered criterion; judgement call, see note)",False,post hoc (census)
B-solve,B,results/blockB_prediction.md,c05c03e,FAIL,"not explicitly scored; R at solve step +16.4% (1.30), +21%, +26%, +29% above R_solve; R50 +20.8%","results/blockB_results_final.md:13-19,102-117",no,MY SCORING against the registered 15% tolerance (blockB_prediction.md:48-49). Every a lies outside it.,,"SCORED IN CENSUS 2026-09-23 (post hoc scoring against the registered criterion; judgement call, see note)",False,post hoc (census)
B-CV,B,results/blockB_prediction.md,c05c03e,PASS,"CV R_solve 0.0020, R_glob 0.0208, R_spin 0.0504 (all <= 0.15)",results/blockB_results_final.md:63-72,no,Scored by me against the registered CV <= 0.15. The table is in the results file without a pass/fail label.,,"SCORED IN CENSUS 2026-09-23 (post hoc scoring against the registered criterion; judgement call, see note)",False,post hoc (census)
C-1 (kappa),kappa,results/kappa_certification_prediction.md,1ed3788,PASS,"PASS, 0.02-0.09%",results/kappa_certification_results.md:124,no,,,as previously scored,False,registered rule
C-2 (kappa),kappa,results/kappa_certification_prediction.md,1ed3788,FAIL,"magnitude PASSES (0.69-0.76%), containment FAILS",results/kappa_certification_results.md:125,no,"The registered falsifier covers either clause (kappa_certification_prediction.md:59-60), so FAIL as registered. T50's width survives.",,as previously scored,False,registered rule
C-3 (kappa),kappa,results/kappa_certification_prediction.md,1ed3788,PASS,"PASS, boundary gap <= 0 at every a",results/kappa_certification_results.md:126,no,,,as previously scored,False,registered rule
C-4 (kappa),kappa,results/kappa_certification_prediction.md,1ed3788,PASS,"PASS, 0.086%",results/kappa_certification_results.md:127,no,,,as previously scored,False,registered rule
N-1,nu,results/nu_prediction.md,2bd014d,FAIL,"FAILS on the primary fit (nu -0.1243 [-0.2384,-0.0294] excludes 0), passes on the secondary",results/nu_results.md:33-41,no,The registered validity falsifier (alpha disagreement) also fired and was explained (nu_results.md:9-31). N-2 is a conditional rule and N-3 a materiality threshold; the correction is immaterial (0.057 < 0.114). Neither is listed as a prediction.,,as previously scored,False,registered rule
prec-Hdiv,precision,results/precision_prediction.md,f0cb8da,UNRESOLVED,"RETRACTED: ""This registration is void"" (the effect was an RNG measurement artifact; 0 flips with shared init)",results/precision_prediction.md:1-24,no,"Three numeric sub-parts, never scored.",,as previously scored,False,registered rule
S-1,scaling limit,results/scaling_limit_prediction.md,73a11c1,PASS,"PASS, 0.38% at a=1.02 (tol 3%)",results/scaling_limit_results.md:17,no,,,as previously scored,False,registered rule
S-2,scaling limit,results/scaling_limit_prediction.md,73a11c1,PASS,PASS,results/scaling_limit_results.md:18,no,,,as previously scored,False,registered rule
S-3,scaling limit,results/scaling_limit_prediction.md,73a11c1,PARTIAL,"PASS for R_glob, FAILS for R_solve","results/scaling_limit_results.md:19,95-102",no,"Registered for both R_glob and R_solve. The strict reading (""falsified if the deviation is negative"") makes it FAIL for R_solve. Step 5 (loss invariance) was reported as failing before registration and is not a registered prediction.",,"SCORED IN CENSUS 2026-09-23 (post hoc scoring against the registered criterion; judgement call, see note)",False,post hoc (census)
S-4,scaling limit,results/scaling_limit_prediction.md,73a11c1,PASS,"PASS for R_glob (slope 0.947 in [0.5,2])","results/scaling_limit_results.md:20,90",no,,,as previously scored,False,registered rule
S2-1,S2 (withdrawn),results/blockS2_prediction.md,b782f26,FAIL,"FAILS, in the registered falsifier direction (gap widens)",results/blockS2_results.md:23,no,"withdrawn construction: T69 withdrawn 2026-09-22 for overlapping class regions (blockS2_overlap_correction.md; BLOCK_STATUS.md), superseded by A5d.",,as previously scored,False,registered rule
S2-2,S2 (withdrawn),results/blockS2_prediction.md,b782f26,PASS,validity gate PASSES,results/blockS2_results.md:41,no,"withdrawn construction (T69). This is a validity gate, not a result.",,as previously scored,False,registered rule
