id,block,registration_file,registration_commit,verdict,original_verdict_text,scored_in,counted_in_existing_64,note,census_round,changed_from,verdict_status,non_directional,scoring,prediction_id
loc-2,localization 08-22,results/localization_prediction.md,0792e39,FAIL,"""A registered prediction was wrong"": lk flips sign; borne out only in corrected |lk| form",results/localization_results.md:10-34,no,"As registered (""linking stays at -1 through every layer"") it failed; the chase showed sign flips track negative-determinant layers. Arguably PARTIAL.",2026-09-23,,"SCORED IN CENSUS 2026-09-23 (post hoc scoring against the registered criterion; judgement call, see note)",False,post hoc (census),loc-2
loc-3,localization 08-22,results/localization_prediction.md,0792e39,PARTIAL,"partial support: closest-approach clustering supported, angular concentration mixed",results/localization_results.md:85-97,no,"CLAIMS.md:28 (T13) ""current, partial"".",2026-09-23,,as previously scored,False,registered rule,loc-3
search-1,search 08-22,results/search_prediction.md,2692a06,PASS,"0 separations in 400; best 2 (sin 0.95), tanh best 26",results/search_results.md:12-23,no,,2026-09-23,,as previously scored,False,registered rule,search-1
search-2,search 08-22,results/search_prediction.md,2692a06,PASS,swap always breaks; fine-tuning never recovers 0,results/search_results.md:25-45,no,,2026-09-23,,as previously scored,False,registered rule,search-2
search-3,search 08-22,results/search_prediction.md,2692a06,PARTIAL,"scored ""all 12 traces fail above it ... never regained""; audit found 2 of 12 re-entrant traces and first failures up to a*=2.275",results/search_results.md:47-67; CLAIMS.md:34,no,"The registration said separation is ""never regain[ed] below"". CLAIMS.md:34 (T19, audit 2026-08-25) found 2 re-entrant traces (fail, recover, fail), and one first failure above the a*>2 ""against-the-reading"" line. The core claim (no trace at 0 errors for a<=1) holds.",2026-09-23,,as previously scored,False,registered rule,search-3
search-4,search 08-22,results/search_prediction.md,2692a06,PARTIAL,0 of 120 monotonic restarts; positive control passes only after the objective was changed,results/search_results.md:69-87,no,"The registered count objective failed its own positive control. The switch to cross-entropy is documented but is a deviation. Under the new objective the control reached 17/40 (12/20 at d3, 5/20 at d5), short of ""most restarts"". The monotonic zero holds.",2026-09-23,,as previously scored,False,registered rule,search-4
thr-P1,threshold 08-22,results/threshold_prediction.md,89fa78c,PARTIAL,"BORNE OUT at grid resolution; corrected 2026-08-22: ""borne out on the zero side, not borne out on the location""","results/threshold_results.md:26,59-72",no,"The registered transition intervals (1.0,1.05] and [-0.05,0.0) missed: measured (1.05,1.10] and [-0.25,-0.10).",2026-09-23,,as previously scored,False,registered rule,thr-P1
thr-P2,threshold 08-22,results/threshold_prediction.md,89fa78c,PASS,BORNE OUT,results/threshold_results.md:84,no,,2026-09-23,,as previously scored,False,registered rule,thr-P2
thr-P3,threshold 08-22,results/threshold_prediction.md,89fa78c,FAIL,NOT BORNE OUT; the floor argument is retracted,results/threshold_results.md:93,no,,2026-09-23,,as previously scored,False,registered rule,thr-P3
thr-P4,threshold 08-22,results/threshold_prediction.md,89fa78c,PASS,BORNE OUT,results/threshold_results.md:147,no,,2026-09-23,,as previously scored,False,registered rule,thr-P4
thr-P5,threshold 08-22,results/threshold_prediction.md,89fa78c,PASS,BORNE OUT to within one grid step,results/threshold_results.md:158,no,"QUESTIONABLE: the registration says the transition ""sits at the analytic threshold in both families -- not at a common value of some other quantity"". The families instead agree on a common value of most-negative derivative, past the threshold. As registered this is arguably FAIL.",2026-09-23,,"SCORED IN CENSUS 2026-09-23 (post hoc scoring against the registered criterion; judgement call, see note)",False,post hoc (census),thr-P5
wind-P1,winding 08-22,results/winding_prediction.md,10665c1,PASS,BORNE OUT,results/winding_results.md:27,no,,2026-09-23,,as previously scored,False,registered rule,wind-P1
wind-P2,winding 08-22,results/winding_prediction.md,10665c1,PASS,BORNE OUT,results/winding_results.md:34,no,,2026-09-23,,as previously scored,False,registered rule,wind-P2
wind-P3,winding 08-22,results/winding_prediction.md,10665c1,PASS,BOTH HALVES BORNE OUT,results/winding_results.md:43,no,CLAIMS.md:38 (T24) notes small per-activation non-monotone cells.,2026-09-23,,as previously scored,False,registered rule,wind-P3
wind-P4,winding 08-22,results/winding_prediction.md,10665c1,PASS,BORNE OUT,results/winding_results.md:59,no,"CLAIMS.md:38 (T24): attrition 22/28/46/42% is not monotone; the earlier ""grows"" wording was corrected. Higher at q>=3 than at q<=2.",2026-09-23,,as previously scored,False,registered rule,wind-P4
amp-2a-match,early census 08-23,results/amplification_prediction.md,178e599,FAIL,failed (A_req undefined for family B),results/gap_results.md:139,no,"The stated reason was retracted 2026-09-06 (CLAIMS.md:42, T28: A_req diverges as 1/|alpha| for B, ""original analysis used the wrong variable""). Not re-scored.",2026-09-23,,"SCORED IN CENSUS 2026-09-23 (post hoc scoring against the registered criterion; judgement call, see note)",False,post hoc (census),amp-2a-match
amp-2b-tail,early census 08-23,results/amplification_prediction.md,178e599,PASS,borne out,results/gap_results.md:140,no,,2026-09-23,,as previously scored,False,registered rule,amp-2b-tail
amp-2b-intervention,early census 08-23,results/amplification_prediction.md,178e599,PASS,borne out: 17/40 vs 0/400,results/gap_results.md:141,no,,2026-09-23,,as previously scored,False,registered rule,amp-2b-intervention
bneck-A,early census 08-23,results/bottleneck_prediction.md,7b21786,FAIL,"Test A failed, sign reversed (tanh beats GELU at every width)",results/bottleneck_results.md:9-27,no,,2026-09-23,,as previously scored,False,registered rule,bneck-A
bneck-B,early census 08-23,results/bottleneck_prediction.md,7b21786,UNRESOLVED,Test B is moot (no advantage whose disappearance could be tested),results/bottleneck_results.md:24-26,no,,2026-09-23,,as previously scored,False,registered rule,bneck-B
fold1d-P1-zero,early census 08-23,results/fold1d_prediction.md,8aacfed,PASS,exact: 0/200 at every monotonic value,results/fold1d_results.md:14,no,,2026-09-23,,as previously scored,False,registered rule,fold1d-P1-zero
fold1d-P2-onset,early census 08-23,results/fold1d_prediction.md,8aacfed,PARTIAL,"family A: zeros through 1.30, onset (1.30,1.35]; family B: no gap",results/fold1d_results.md:15-16,no,"The registered onset is past the threshold (stated for a=1.01-1.05). It held for family A. Family B shows no gap, which is the ""onset exactly at the threshold"" outcome the registration named against.",2026-09-23,,as previously scored,False,registered rule,fold1d-P2-onset
fold1d-P3-calibration,early census 08-23,results/fold1d_prediction.md,8aacfed,PARTIAL,"procedure vindicated, point guess wrong (band [1.10,1.30] missed by one grid step)",results/fold1d_results.md:19-30,no,The procedure was re-run afterwards with measured reach numbers. The registration anticipated this outcome (fold1d_prediction.md:55-56).,2026-09-23,,as previously scored,False,registered rule,fold1d-P3-calibration
fold1d-P4-GELU,early census 08-23,results/fold1d_prediction.md,8aacfed,PASS,93/200 = 46.5% (>= 30% borne out),results/fold1d_results.md:17,no,,2026-09-23,,as previously scored,False,registered rule,fold1d-P4-GELU
gelu-up,early census 08-23,results/gelu_scale_prediction.md,a42f342,FAIL,outcome exceeded registered R2 expectation (5-13%): scaled-up 17.0%,results/gelu_scale_results.md:12-29,no,"The registered point expectation (unchanged within noise) was missed. 17.0% sits exactly on the edge of the pre-stated ""3-17%: consistent with R2"" band. CLAIMS.md:43 (T29): ""Registered R2 expectation (no change) was exceeded"".",2026-09-23,,"SCORED IN CENSUS 2026-09-23 (post hoc scoring against the registered criterion; judgement call, see note)",False,post hoc (census),gelu-up
gelu-down,early census 08-23,results/gelu_scale_prediction.md,a42f342,PASS,"scaled-down 3.0% (at or below baseline, direction down), p=0.023 one-sided","results/gelu_scale_results.md:14,55-57",no,"Registered with low confidence. Fails Bonferroni x3 (CLAIMS.md:43, T29).",2026-09-23,,as previously scored,False,registered rule,gelu-down
offset-E,early census 08-23,results/offset_prediction.md,4e5d413,PASS,"exhibit found: 0 errors on 1,400,000 fresh points",results/offset_results.md:25-35,no,,2026-09-23,,as previously scored,False,registered rule,offset-E
offset-R,early census 08-23,results/offset_prediction.md,4e5d413,PASS,"all four searches fail at a=1.02, as registered",results/offset_results.md:44-55,no,,2026-09-23,,as previously scored,False,registered rule,offset-R
arr-1a,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,FAIL,"linear overshoots MEP by an infinite factor, not a constant one",results/barrier_results.md:53-56,no,"Un-coded original Arrhenius prediction 1a (arrhenius_prediction.md:3). Distinct from P-barrier (basin_prediction.md), which tested barrier height vs a.",2026-09-23,,as previously scored,False,registered rule,arr-1a
arr-1b,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,UNRESOLVED,not run: premise failed (no barrier exists),results/barrier_results.md:46-51,no,Un-coded Arrhenius 1b (arrhenius_prediction.md:6).,2026-09-23,,as previously scored,False,registered rule,arr-1b
arr-2a,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,UNRESOLVED,"""Parts 2, 3 and 5 as registered cannot run""",results/barrier_results.md:48-51,no,Un-coded Arrhenius 2a.,2026-09-23,,as previously scored,False,registered rule,arr-2a
arr-2b,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,UNRESOLVED,cannot run (Part 2),results/barrier_results.md:48-51,no,Un-coded Arrhenius 2b (fitted T vs eta/B). Distinct from coded P-2b.,2026-09-23,,as previously scored,False,registered rule,arr-2b
arr-3a,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,UNRESOLVED,cannot run (Part 3),results/barrier_results.md:48-51,no,Un-coded Arrhenius 3a.,2026-09-23,,as previously scored,False,registered rule,arr-3a
arr-3c,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,UNRESOLVED,cannot run (Part 3),results/barrier_results.md:48-51,no,Un-coded Arrhenius 3c.,2026-09-23,,as previously scored,False,registered rule,arr-3c
arr-5,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,UNRESOLVED,cannot run (Part 5),results/barrier_results.md:48-51,no,Un-coded Arrhenius 5 (GELU dose-response within a factor of ~2).,2026-09-23,,as previously scored,False,registered rule,arr-5
P-ratio(1b),Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,UNRESOLVED,"""ATTEMPTED, NOT EXECUTABLE"": q0.667 never solves under SGD; no ratio measured",results/geometric_transfer.md:1-41,no,"Second prediction under the code P-ratio (arrhenius_prediction.md:515, 2026-09-07). Not the P-ratio row in registered_predictions.md.",2026-09-23,,as previously scored,False,registered rule,P-ratio(1b)
P-1c-onset,Arrhenius 08-27,results/arrhenius_prediction.md,6be69dc,UNRESOLVED,"superseded: dependent on alpha_SGD=0.479, which failed (P-1c)",results/sgd_law_results.md:21-27,no,"Dependent prediction under P-1c (arrhenius_prediction.md:246-248), SGD onset -0.319, band [-0.42,-0.22]. Re-registered as P-SGD with measured alpha. The measured -0.3255 happens to fall inside this superseded band.",2026-09-23,,as previously scored,False,registered rule,P-1c-onset
mnist-3b,MNIST budget law 09-11,results/mnist_budget_law_prediction.md,4a42ff3,UNRESOLVED,"not run: gated on control 2a, which failed (""Outcome 4 of 4"")",results/mnist_budget_law_results.md:3,no,"3a (alpha measured here) and 3c (bracketing) are protocol, not predictions. Not listed.",2026-09-23,,as previously scored,False,registered rule,mnist-3b
collapse-link,collapse 09-12,results/collapse_prediction.md,5db244b,FAIL,"originally ""This is the linkage registered in advance ... Both happened""; after the 2026-09-13 correction, Item 2 PASSES while Item 1 still fails","results/collapse_results.md:139-145,229",no,"MY INFERENCE: the registered biconditional (""if Item 2 shows drift, Item 1 will show poor collapse, and vice versa"", collapse_prediction.md:81-84) is violated once corrected Item 2 passes and Item 1 fails. Never explicitly re-scored.",2026-09-23,,"SCORED IN CENSUS 2026-09-23 (post hoc scoring against the registered criterion; judgement call, see note)",False,post hoc (census),collapse-link
metric-1a,metric artifact 09-12,results/metric_artifact_prediction.md,34def0c,PARTIAL,"Registered outcome 3 (intermediate), close to outcome 2: W ratio 2.09; ""sharp capability threshold"" withdrawn","results/metric_artifact_results.md:13-31,81",no,NON-DIRECTIONAL: the registration set outcome classes but predicted none. Intermediate mapped to PARTIAL.,2026-09-23,,"SCORED IN CENSUS 2026-09-23 (post hoc scoring against the registered criterion; judgement call, see note)",True,post hoc (census),metric-1a
metric-2,metric artifact 09-12,results/metric_artifact_prediction.md,34def0c,PARTIAL,"R dominates in A, q2, q1; does NOT dominate in family B","results/metric_artifact_results.md:198-206,294-306",no,"NON-DIRECTIONAL criterion (""if it fails in any qualifying family, that is reported""). Family B qualifies (286 in-band runs) and fails.",2026-09-23,,"SCORED IN CENSUS 2026-09-23 (post hoc scoring against the registered criterion; judgement call, see note)",True,post hoc (census),metric-2
rc-H,R-collapse 09-12,results/r_collapse_prediction.md,4690f20,FAIL,FAILS across activation families; 2 of 4 failure conditions trigger -> R is a correlate,results/r_collapse_results.md:16-29,no,Restated 2026-09-22 (T71): condition 4 fails for q2 only (r_collapse_results.md:1). Still a failure.,2026-09-23,,as previously scored,False,registered rule,rc-H
rc-1d,R-collapse 09-12,results/r_collapse_prediction.md,4690f20,PARTIAL,"PASSES on the distribution-free test; parametric R50 gap 0.0359 exceeds the registered 0.0241 (""taken literally, condition 3 fails"")",results/r_collapse_results.md:99-131,no,"Only the parametric R50 criterion was registered, so strictly FAIL. Superseded 2026-09-14 by third_optimizer (r_collapse_results.md:373).",2026-09-23,,"SCORED IN CENSUS 2026-09-23 (post hoc scoring against the registered criterion; judgement call, see note)",False,post hoc (census),rc-1d
rc-3,R-collapse 09-12,results/r_collapse_prediction.md,4690f20,PARTIAL,"""Largely"": onsets within 1-2 grid steps at the 4 largest budgets; predicted exponent -0.8583 vs measured -0.7340, beyond grid resolution","results/r_collapse_results.md:272-298,337-341",no,"No tolerance was registered. 2b and 2c are checks ""reported either way"" and are not listed.",2026-09-23,,as previously scored,False,registered rule,rc-3
3opt-primary,third optimizer 09-14,results/third_optimizer_prediction.md,5da9b88,PASS,"Registered outcome 1: failure condition not triggered; all 9 Fisher null, intervals overlap","results/third_optimizer_results.md:4,68-81",no,,2026-09-23,,as previously scored,False,registered rule,3opt-primary
3opt-secondary,third optimizer 09-14,results/third_optimizer_prediction.md,5da9b88,PASS,directional sub-prediction confirmed: alpha_adamw 0.9802 < alpha_adam 1.2627,results/third_optimizer_results.md:64-66,no,,2026-09-23,,as previously scored,False,registered rule,3opt-secondary
P1-a,phase1,results/phase1_prediction.md,ab7556d,PASS,P1-a confirmed: failures are placement failures,results/phase1_results.md:33,no,"P1-c, the registered competing hypothesis, is the complement of P1-a. It is rejected by the same result and not counted separately.",2026-09-23,,as previously scored,False,registered rule,P1-a
P1-b,phase1,results/phase1_prediction.md,ab7556d,FAIL,P1-b: FAILED as registered,results/phase1_results.md:96,no,,2026-09-23,,as previously scored,False,registered rule,P1-b
p2b-Hreverse,phase2b,results/phase2b_prediction.md,690570a,FAIL,"""rejection of the reverse mechanism (no post-crossing acceleration in |w2|)""; median R at crossing 0.2330 vs registered < 0.20",results/blockE_results.md:118-119; results/phase2b_across_a_prediction.md:6,no,"No dedicated results file exists: SESSION_LOG.md:111 cites results/phase2b_results.md, which is not in the repository or its history. The first numeric clause (median R at crossing below 0.20) fails on the committed 0.2330.",2026-09-23,,as previously scored,False,registered rule,p2b-Hreverse
O1,phase2b across a,results/phase2b_across_a_prediction.md,c2b987f,PASS,O1: CV(R)=0.0311 (certified 0.0324) vs CV(|w2|)=0.2821,SESSION_LOG.md:15-22; results/BLOCK_STATUS.md:12,no,"Outcomes O2 and O3 are alternatives, not separate predictions.",2026-09-23,,as previously scored,False,registered rule,O1
p2bA-thresholds,phase2b across a,results/phase2b_across_a_prediction.md,c2b987f,UNRESOLVED,"training-free R_cross under-estimates measured 0.233 by 8.7-12.6% (""an under-estimate, not a bracket""); original numbers from under-converged code, superseded by Block B","SESSION_LOG.md:94-106,119",no,No tolerance was registered. The successor tests are Block B and G-1.,2026-09-23,,as previously scored,False,registered rule,p2bA-thresholds
p2bA-adiabatic,phase2b across a,results/phase2b_across_a_prediction.md,c2b987f,PASS,"Registered criterion (median < 0.2 = tracking): met, overall median 0.0065",results/blockBC_results.md:56,no,,2026-09-23,,as previously scored,False,registered rule,p2bA-adiabatic
p2bA-Rrho,phase2b across a,results/phase2b_across_a_prediction.md,c2b987f,FAIL,Registered prediction that FAILED: R CV 0.0830 vs R*rho 0.1933,results/blockB_results_final.md:119-131,no,"Section 4 (Phase 3 items 4.1-4.3) maps to E-5, E-cold_low and E-4. Not counted separately.",2026-09-23,,as previously scored,False,registered rule,p2bA-Rrho
B-spin,B,results/blockB_prediction.md,c05c03e,FAIL,"scored ""passes, but on THREE prospective a ... not discriminating""; registered falsifier (no hysteresis window) triggered at a=1.30; later withdrawn when R_spin=R_glob at all a",results/blockB_results_final.md:22-50; results/blockBC_results.md:17; SESSION_LOG.md:30-33,no,"JUDGEMENT: the scored pass was withdrawn (SESSION_LOG.md:30-33), and the registered falsifier of the adiabatic/spinodal picture fired (blockBC_results.md:17, ""framing dropped, not repaired""). Defensible alternative: UNRESOLVED (withdrawn).",2026-09-23,,"SCORED IN CENSUS 2026-09-23 (post hoc scoring against the registered criterion; judgement call, see note)",False,post hoc (census),B-spin
B-solve,B,results/blockB_prediction.md,c05c03e,FAIL,"not explicitly scored; R at solve step +16.4% (1.30), +21%, +26%, +29% above R_solve; R50 +20.8%","results/blockB_results_final.md:13-19,102-117",no,MY SCORING against the registered 15% tolerance (blockB_prediction.md:48-49). Every a lies outside it.,2026-09-23,,"SCORED IN CENSUS 2026-09-23 (post hoc scoring against the registered criterion; judgement call, see note)",False,post hoc (census),B-solve
B-CV,B,results/blockB_prediction.md,c05c03e,PASS,"CV R_solve 0.0020, R_glob 0.0208, R_spin 0.0504 (all <= 0.15)",results/blockB_results_final.md:63-72,no,Scored by me against the registered CV <= 0.15. The table is in the results file without a pass/fail label.,2026-09-23,,"SCORED IN CENSUS 2026-09-23 (post hoc scoring against the registered criterion; judgement call, see note)",False,post hoc (census),B-CV
C-1 (kappa),kappa,results/kappa_certification_prediction.md,1ed3788,PASS,"PASS, 0.02-0.09%",results/kappa_certification_results.md:124,no,,2026-09-23,,as previously scored,False,registered rule,C-1 (kappa)
C-2 (kappa),kappa,results/kappa_certification_prediction.md,1ed3788,FAIL,"magnitude PASSES (0.69-0.76%), containment FAILS",results/kappa_certification_results.md:125,no,"The registered falsifier covers either clause (kappa_certification_prediction.md:59-60), so FAIL as registered. T50's width survives.",2026-09-23,,as previously scored,False,registered rule,C-2 (kappa)
C-3 (kappa),kappa,results/kappa_certification_prediction.md,1ed3788,PASS,"PASS, boundary gap <= 0 at every a",results/kappa_certification_results.md:126,no,,2026-09-23,,as previously scored,False,registered rule,C-3 (kappa)
C-4 (kappa),kappa,results/kappa_certification_prediction.md,1ed3788,PASS,"PASS, 0.086%",results/kappa_certification_results.md:127,no,,2026-09-23,,as previously scored,False,registered rule,C-4 (kappa)
N-1,nu,results/nu_prediction.md,2bd014d,FAIL,"FAILS on the primary fit (nu -0.1243 [-0.2384,-0.0294] excludes 0), passes on the secondary",results/nu_results.md:33-41,no,The registered validity falsifier (alpha disagreement) also fired and was explained (nu_results.md:9-31). N-2 is a conditional rule and N-3 a materiality threshold; the correction is immaterial (0.057 < 0.114). Neither is listed as a prediction.,2026-09-23,,as previously scored,False,registered rule,N-1
prec-Hdiv,precision,results/precision_prediction.md,f0cb8da,UNRESOLVED,"RETRACTED: ""This registration is void"" (the effect was an RNG measurement artifact; 0 flips with shared init)",results/precision_prediction.md:1-24,no,"Three numeric sub-parts, never scored.",2026-09-23,,as previously scored,False,registered rule,prec-Hdiv
S-1,scaling limit,results/scaling_limit_prediction.md,73a11c1,PASS,"PASS, 0.38% at a=1.02 (tol 3%)",results/scaling_limit_results.md:17,no,,2026-09-23,,as previously scored,False,registered rule,S-1
S-2,scaling limit,results/scaling_limit_prediction.md,73a11c1,PASS,PASS,results/scaling_limit_results.md:18,no,,2026-09-23,,as previously scored,False,registered rule,S-2
S-3,scaling limit,results/scaling_limit_prediction.md,73a11c1,PARTIAL,"PASS for R_glob, FAILS for R_solve","results/scaling_limit_results.md:19,95-102",no,"Registered for both R_glob and R_solve. The strict reading (""falsified if the deviation is negative"") makes it FAIL for R_solve. Step 5 (loss invariance) was reported as failing before registration and is not a registered prediction.",2026-09-23,,"SCORED IN CENSUS 2026-09-23 (post hoc scoring against the registered criterion; judgement call, see note)",False,post hoc (census),S-3
S-4,scaling limit,results/scaling_limit_prediction.md,73a11c1,PASS,"PASS for R_glob (slope 0.947 in [0.5,2])","results/scaling_limit_results.md:20,90",no,,2026-09-23,,as previously scored,False,registered rule,S-4
S2-1,S2 (withdrawn),results/blockS2_prediction.md,b782f26,FAIL,"FAILS, in the registered falsifier direction (gap widens)",results/blockS2_results.md:23,no,"withdrawn construction: T69 withdrawn 2026-09-22 for overlapping class regions (blockS2_overlap_correction.md; BLOCK_STATUS.md), superseded by A5d.",2026-09-23,,as previously scored,False,registered rule,S2-1
S2-2,S2 (withdrawn),results/blockS2_prediction.md,b782f26,PASS,validity gate PASSES,results/blockS2_results.md:41,no,"withdrawn construction (T69). This is a validity gate, not a result.",2026-09-23,,as previously scored,False,registered rule,S2-2
B3-primary,Block 3 (held-out windows),results/prospective_prediction.md,8d8dec6,PASS,"Primary success iff C beats B1 and B2: both setting-level paired-bootstrap 95% intervals of mean(err_C - err_X) entirely below 0. Scored: C-B1 -0.257 [-0.370,-0.131]; C-B2 -0.055 [-0.103,-0.010]: PASS.","results/prospective_comparisons.csv (rows 'C - B1','C - B2')",no,"Procedure fixed in code at a496a1f before any prediction value; predictions frozen (SHA-256 6b675fd5...); one disclosed pre-registration timing run (seed 999999) excluded. One joint criterion over both baselines, so one row. Beside it (not part of the criterion): C over-predicts in all 8 settings (+0.022) and loses 4 setting-level pairwise comparisons (WRITER_INPUTS_v4.md:128-137). | evidence: results/prospective_comparisons.csv col C_better_interval_excludes_zero; paper/WRITER_INPUTS_v4.md:108-111; scored e2f619f",2026-09-24,,as previously scored,False,registered rule,B3-primary
B3-secondary-B3,Block 3 (held-out windows),results/prospective_prediction.md,8d8dec6,PASS,"Secondary: MAE of the placed fraction over 8 settings x 5 budgets, C vs B3, same bootstrap; registered expectation C lower (interval below 0), 'reported either way'. Scored: -0.044 [-0.068,-0.018]: PASS.",results/prospective_comparisons.csv (row 'secondary: C - B3'),no,"Secondary, but with a registered directional expectation and an interval rule, so scored as a prediction. | evidence: results/prospective_prediction.md:129-131; results/prospective_comparisons.csv row 4; paper/WRITER_INPUTS_v4.md:113",2026-09-24,,as previously scored,False,registered rule,B3-secondary-B3
B3-U-range,Block 3 (held-out windows),results/prospective_prediction.md,8d8dec6,PARTIAL,"U's per-setting log error expected in [0.0801, 0.1824] (range over the 10 existing settings), 'reported as inside or outside that range, setting by setting'. Scored: inside at 7 of 8; H10 a = 1.30 outside at 0.0767.",results/prospective_scores.csv col U_in_expected_range,no,"JUDGEMENT: the registered rule reports inside/outside per setting and gives no aggregate verdict, so any single verdict is post hoc. Mixed per-unit outcome mapped to PARTIAL following the old census's S-3 (scaling limit) precedent. Alternatives: 8 per-setting rows by the registered rule (7 PASS, 1 FAIL), or FAIL read as a joint prediction (WRITER_INPUTS_v4.md:145-146). The H10/1.30 bracket is tie-limited (prospective_prediction.md:92). Registration sign wording differs (line 90 log(obs/U), line 127 log(U/obs)); the scorer compares |log|. | evidence: results/prospective_prediction.md:90,127-128; results/prospective_scores.csv col U_in_expected_range (H10/1.3 False); paper/WRITER_INPUTS_v4.md:143-146; commit b4c9b89 ('U range 7/8 per setting, joint reading fails narrowly')",2026-09-24,,"SCORED IN CENSUS 2026-09-24 (post hoc scoring against the registered criterion; judgement call, see note)",False,post hoc (census),B3-U-range
B4-D1,Block 4 (fixed scale),results/fixed_scale_prediction.md,888344d,PASS,"D1 equilibrium (primary, 'preserved'): placement fraction at 4,000 steps rises with R/R_glob; 50% point in [0.9, 1.25]; no level significantly below a lower level (paired exact McNemar, one-sided p < 0.05). Scored: x50 = 1.049, 0 monotonicity violations: PASS.","results/fixed_scale_block4_tests.csv (preserved, D1_pass)",no,"Amendments 0f9f67e and 10c1ea5 changed only the k = 1 validity check, before any outcome. Scope a = 1.30, base window, Adam. The distance-to-branch column was rerun (82d38ba) and reproduces every scored outcome. | evidence: results/fixed_scale_block4_tests.csv row preserved cols D1_x50_in_band, monotonic_violations, D1_pass; paper/WRITER_INPUTS_v4.md:273-274; scored c1546d7",2026-09-24,,as previously scored,False,registered rule,B4-D1
B4-D1-reset,Block 4 (fixed scale),results/fixed_scale_prediction.md,888344d,PASS,"'The same criteria are reported for reset as a secondary test.' Scored (reset): x50 = 1.049, 0 violations: PASS.","results/fixed_scale_block4_tests.csv (reset, D1_pass)",no,"JUDGEMENT: registered as a separate secondary test with the same criteria, so its own row; the writer inputs fold it into D1 ('passed in both variants'). Fold it if one row per registered prediction is preferred. | evidence: results/fixed_scale_prediction.md:42; results/fixed_scale_block4_tests.csv row reset col D1_pass; paper/WRITER_INPUTS_v4.md:273 ('in both optimiser-state variants')",2026-09-24,,as previously scored,False,registered rule,B4-D1-reset
B4-D2,Block 4 (fixed scale),results/fixed_scale_prediction.md,888344d,FAIL,"D2 saturation (competing): placement fraction at R/R_glob = 2.0 significantly below the maximum over levels (paired exact McNemar, one-sided p < 0.05); 'D1 and D2 are scored independently'. Scored: maximum at 1.5, p = 1.0: FAIL.",results/fixed_scale_block4_tests.csv (D2_pass),no,"JUDGEMENT: labelled 'competing' but registered to be scored independently with its own criterion, so a row (old census does not count pure alternatives separately, e.g. P1-c, O2/O3). A failure of the competing outcome, i.e. favourable to D1 (cf. C-AdamvSGD 'failed, favourable'). | evidence: results/fixed_scale_block4_tests.csv cols D2_level_of_max, D2_p, D2_pass (both variants False); paper/WRITER_INPUTS_v4.md:275",2026-09-24,,as previously scored,False,registered rule,B4-D2
B5-monotone,Block 5 (retention),results/fixed_scale_prediction.md,888344d,PASS,"Monotone: retention non-decreasing in R/R_glob; no level significantly below a lower level (paired exact McNemar, one-sided p < 0.05). Scored: 0 violations, both variants: PASS.",results/fixed_scale_block5_tests.csv (monotone_pass),no,"Amendments 0f9f67e and 10c1ea5 changed only the k = 1 validity check, before any outcome. | evidence: results/fixed_scale_block5_tests.csv cols monotonic_violations, monotone_pass; paper/WRITER_INPUTS_v4.md:628; scored 6b6a9d0",2026-09-24,,as previously scored,False,registered rule,B5-monotone
B5-location,Block 5 (retention),results/fixed_scale_prediction.md,888344d,PASS,"Location: the 50% point of retention lies in [0.9, 1.1]. Scored: x50 = 1.067 (reset 1.068): PASS.",results/fixed_scale_block5_tests.csv (location_in_band),no,"Amendments 0f9f67e and 10c1ea5 changed only the k = 1 validity check, before any outcome. Block E pilot data (0/37 at 0.85, 33/37 at 1.15) were seen before registration (fixed_scale_prediction.md:65-66). E-2 stays FAIL. | evidence: results/fixed_scale_block5_tests.csv cols x50, location_in_band; paper/WRITER_INPUTS_v4.md:629; scored 6b6a9d0",2026-09-24,,as previously scored,False,registered rule,B5-location
B4h-Q1,Block 4 horizon extension,results/fixed_scale_horizon_prediction.md,cdfbf9d,FAIL,"Q1: x50 moves toward 1.0 as the horizon grows; all of x50(4k) >= x50(16k) >= x50(64k), |x50(64k)-1| < |x50(4k)-1|, x50(64k) in [0.98, 1.02]. Scored (preserved): 1.0458 / 1.0450 / 1.0454: FAIL; the registered competing outcome (x50(64k) in [1.03, 1.07]) holds.",results/fixed_scale_horizons_tests.csv (Q1_pass),no,"Stop report 856327b and amendment 1 4dbb987 changed only the reproduction check's parsing, before any Q1/Q2 scoring. Competing outcome folded into this row (old-census practice for registered alternatives). Reset variant also fails. | evidence: results/fixed_scale_horizons_tests.csv cols x50_4k/16k/64k, Q1_pass, competing_outcome; paper/WRITER_INPUTS_v4.md:286,390-392; scored be9edac",2026-09-24,,as previously scored,False,registered rule,B4h-Q1
